model,task,language,n,n_truncated,truncation_rate,accuracy_as_reported,accuracy_excl_truncated,truncated_correct
qwen3-32b,code,ar,100,55,0.55,0.52,1.0,7
qwen3-32b,code,en,100,72,0.72,0.28,0.8214,5
qwen3-32b,code,es,100,62,0.62,0.4,1.0,2
qwen3-32b,code,hi,100,79,0.79,0.29,1.0,8
qwen3-32b,code,tr,100,43,0.43,0.64,1.0,7
qwen3-32b,code,zh,100,54,0.54,0.5,1.0,4
qwen3-32b,commonsense,ar,100,0,0.0,0.94,0.94,0
qwen3-32b,commonsense,en,100,0,0.0,0.95,0.95,0
qwen3-32b,commonsense,es,100,0,0.0,0.94,0.94,0
qwen3-32b,commonsense,hi,100,0,0.0,0.94,0.94,0
qwen3-32b,commonsense,tr,100,0,0.0,0.94,0.94,0
qwen3-32b,commonsense,zh,100,1,0.01,0.93,0.9394,0
qwen3-32b,math,ar,100,4,0.04,0.88,0.9167,0
qwen3-32b,math,en,100,6,0.06,0.78,0.8298,0
qwen3-32b,math,es,100,0,0.0,0.87,0.87,0
qwen3-32b,math,hi,100,2,0.02,0.9,0.9184,0
qwen3-32b,math,tr,100,4,0.04,0.87,0.9062,0
qwen3-32b,math,zh,100,3,0.03,0.89,0.9175,0
